  0.142079994       3.61335613E-02   4.23864052E-02 -0.172917604    
  0.284159988       7.06227198E-02   4.14219238E-02  -4.60829735E-02
  0.426239967       9.81817469E-02   3.83906402E-02  -2.19385512E-02
  0.568319976      0.122389898       3.58923115E-02  -7.26483203E-03
  0.710399985      0.145771518       3.41994017E-02  -3.89530766E-03
  0.852479935      0.168757275       3.29934023E-02  -3.56801203E-03
  0.994559944      0.191218555       3.20440829E-02  -1.02250429E-03
   1.13663995      0.213561788       3.13147828E-02  -7.22647645E-04
   1.27871990      0.235994428       3.07592023E-02  -8.63385154E-04
   1.42079997      0.258114547       3.02780792E-02  -4.28331288E-04
   1.56287992      0.280253530       2.98864432E-02   7.53574495E-05
   1.70495987      0.302753717       2.95953900E-02   1.82738586E-03
   1.84703994      0.325654000       2.93852165E-02   1.13432668E-03
   1.98911989      0.348433137       2.91949175E-02  -1.51866639E-03
   2.13119984      0.370919257       2.90070754E-02  -2.14791368E-03
   2.27327991      0.393267483       2.88326051E-02   2.17228720E-04
   2.41535997      0.415764362       2.86889169E-02   3.76822310E-04
   2.55743980      0.438370466       2.85683144E-02  -9.90063068E-04
   2.69951987      0.460864723       2.84535009E-02  -6.30882278E-04
   2.84159994      0.483294934       2.83464119E-02  -4.12900554E-04
   2.98367977      0.505745113       2.82506365E-02  -1.89965882E-04
   3.12575984      0.528221250       2.81649530E-02   7.36120797E-04
   3.26783991      0.550930142       2.80985869E-02   1.69468008E-03
   3.40991974      0.573834419       2.80473083E-02  -1.82584903E-04
   3.55199981      0.596902370       2.80078091E-02   2.16537248E-03
   3.69407988      0.620286882       2.79856306E-02  -1.94830075E-03
   3.83615994      0.643758178       2.79688612E-02  -1.92414111E-04
   3.97823977      0.667100251       2.79478822E-02  -1.45416777E-03
   4.12031984      0.690325856       2.79236343E-02   6.98425865E-04
   4.26239967      0.713493407       2.78987363E-02   1.73879205E-04
   4.40447998      0.736650407       2.78750435E-02   7.44979072E-04
   4.54655981      0.759708762       2.78492179E-02  -1.00782003E-04
   4.68863964      0.782791197       2.78258100E-02  -1.64055021E-03
   4.83071995      0.805812418       2.78016683E-02   2.30400721E-04
   4.97279978      0.828689635       2.77740788E-02   1.24475031E-04
   5.11487961      0.851647735       2.77506616E-02   7.89770449E-04
   5.25695992      0.874737442       2.77326778E-02  -1.18106266E-03
   5.39903975      0.897975266       2.77202167E-02  -4.23618272E-04
   5.54111958      0.921299756       2.77109966E-02  -1.08316645E-03
   5.68319988      0.944383264       2.76951753E-02  -9.86588653E-04
   5.82527971      0.967482567       2.76805740E-02   1.83817814E-04
   5.96735954      0.990647316       2.76685003E-02  -2.05505895E-03
   6.10943985       1.01382434       2.76573189E-02   1.77291012E-03
   6.25151968       1.03696096       2.76455712E-02  -7.72792904E-04
   6.39359951       1.06041265       2.76425593E-02   1.24009373E-03
   6.53567982       1.08390832       2.76407935E-02  -1.21305045E-03
   6.67775965       1.10730863       2.76367292E-02   1.08730246E-03
   6.81983948       1.13058341       2.76297666E-02   6.41135382E-04
   6.96191978       1.15395176       2.76253242E-02  -8.00747075E-04
   7.10399961       1.17705083       2.76147462E-02  -9.36542638E-04
   7.24607992       1.19994545       2.75998767E-02   1.31555926E-03
   7.38815975       1.22327542       2.75954027E-02   6.72697090E-04
   7.53023958       1.24687278       2.75970139E-02  -1.57187122E-03
   7.67231989       1.27064657       2.76023969E-02   1.35030330E-03
   7.81439972       1.29431999       2.76054479E-02  -8.03007570E-04
   7.95647955       1.31798971       2.76083108E-02   1.98908267E-03
   8.09855938       1.34174526       2.76128389E-02  -2.72541563E-03
   8.24063969       1.36514723       2.76100561E-02   1.51459200E-04
   8.38271999       1.38852561       2.76069045E-02  -1.46949198E-03
   8.52479935       1.41188037       2.76033934E-02   1.49699184E-03
   8.66687965       1.43569493       2.76088398E-02  -7.87651225E-05
   8.80895996       1.45966399       2.76170317E-02   9.39108504E-05
   8.95103931       1.48361576       2.76246443E-02  -1.17981294E-03
   9.09311962       1.50739789       2.76289117E-02  -3.28550843E-04
   9.23519993       1.53111088       2.76317932E-02   2.24328629E-04
   9.37727928       1.55477726       2.76337657E-02   2.77874133E-05
   9.51935959       1.57853520       2.76372787E-02  -1.36367613E-04
   9.66143990       1.60206473       2.76367497E-02   2.28671081E-04
   9.80351925       1.62557232       2.76358649E-02   1.46172149E-03
   9.94559956       1.64938521       2.76401155E-02   1.29668450E-04
   10.0876799       1.67313766       2.76432522E-02   1.33540062E-03
   10.2297592       1.69693863       2.76470929E-02  -1.31999818E-03
   10.3718395       1.72020578       2.76422482E-02   9.99896904E-04
   10.5139198       1.74360442       2.76396181E-02  -8.65900423E-04
   10.6559992       1.76733851       2.76423078E-02   6.36108569E-04
   10.7980795       1.79104114       2.76444405E-02   1.46287773E-03
   10.9401598       1.81480944       2.76475158E-02   9.12506774E-04
   11.0822392       1.83841097       2.76480056E-02   6.97572366E-04
   11.2243195       1.86195993       2.76477039E-02  -1.34276238E-03
   11.3663998       1.88586283       2.76525989E-02   5.38887361E-05
   11.5084791       1.90972912       2.76568420E-02   4.61124204E-04
   11.6505594       1.93360913       2.76611764E-02   8.38325883E-04
   11.7926397       1.95760226       2.76670083E-02  -2.26347847E-03
   11.9347191       1.98166585       2.76736841E-02   1.80716554E-04
   12.0767994       2.00533223       2.76747178E-02   1.77010207E-03
   12.2188797       2.02889442       2.76743099E-02  -1.04161922E-03
   12.3609591       2.05256629       2.76753902E-02   7.17770250E-04
   12.5030394       2.07646275       2.76794396E-02  -4.21170669E-04
   12.6451197       2.10051227       2.76854131E-02   1.64618436E-03
   12.7871990       2.12480402       2.76944172E-02   5.64014947E-04
   12.9292793       2.14898586       2.77018007E-02   1.32766290E-04
   13.0713596       2.17352533       2.77135819E-02   1.71943591E-03
   13.2134390       2.19806004       2.77250577E-02   1.25074250E-04
   13.3555193       2.22225499       2.77320426E-02  -4.42742516E-04
   13.4975996       2.24641633       2.77384669E-02  -5.97978535E-04
   13.6396790       2.27034068       2.77418643E-02  -1.79460307E-03
   13.7817593       2.29437542       2.77465247E-02   3.69846879E-04
   13.9238396       2.31847692       2.77518872E-02  -3.98968230E-04
   14.0659199       2.34269881       2.77585667E-02   5.65285736E-05
   14.2079992       2.36707020       2.77668722E-02   2.19399386E-04
   14.3500795       2.39140630       2.77745984E-02   3.49644135E-04
   14.4921598       2.41551185       2.77795251E-02  -6.21426268E-04
   14.6342392       2.43938494       2.77817082E-02  -1.34725077E-03
   14.7763195       2.46322250       2.77834479E-02   4.72383981E-04
   14.9183998       2.48703885       2.77849156E-02  -8.65997805E-04
   15.0604792       2.51101494       2.77881250E-02  -6.18819264E-04
   15.2025595       2.53539705       2.77957264E-02   7.21935648E-04
   15.3446398       2.55977416       2.78031304E-02  -2.00087181E-03
   15.4867191       2.58404088       2.78092120E-02   1.47470098E-03
   15.6287994       2.60838079       2.78159641E-02   1.85660308E-03
   15.7708797       2.63220239       2.78171171E-02  -1.37151487E-03
   15.9129591       2.65587473       2.78166868E-02  -9.15135199E-04
   16.0550385       2.67922282       2.78128982E-02   1.85493531E-03
   16.1971188       2.70290613       2.78126244E-02   1.86278985E-03
   16.3391991       2.72661686       2.78126337E-02  -8.18544777E-06
   16.4812794       2.75031543       2.78125182E-02  -2.65866751E-03
   16.6233597       2.77412367       2.78135072E-02   9.91164008E-04
   16.7654400       2.79824090       2.78175529E-02   5.92481403E-04
   16.9075184       2.82215023       2.78194789E-02  -6.01304462E-04
   17.0495987       2.84645009       2.78251916E-02   2.30317819E-03
   17.1916790       2.87075949       2.78309025E-02   2.87316288E-05
   17.3337593       2.89527941       2.78385412E-02   4.37769049E-05
